AIRAC	sectorID	activationStart	activationEnd
20220703	LECMCJL	1658514600	1658568540
20220703	LECBGOI	1656900000	1656926940
20220703	LECBP2R	1657596600	1657618140
20220703	LECBP2R	1659247200	1659252540
20220703	LECBGOI	1657068000	1657099740
20220703	LECMCJL	1659205800	1659259740
20220703	LECBGOI	1657750800	1657783740
20220703	LECBP2R	1656959400	1656986340
20220703	LECMCJL	1658082600	1658136540
20220703	LECBP2R	1658545200	1658548740
20220703	LECBGOI	1657477800	1657504740
20220703	LECBGOI	1657996200	1658023140
20220703	LECBP2R	1659119400	1659151140
20220703	LECBP2R	1658514600	1658541540
20220703	LECBGOI	1656959400	1656973140
20220703	LECBGOI	1658428200	1658456340
20220703	LECBP2R	1658946600	1659000540
20220703	LECMCJL	1657909800	1657963740
20220703	LECBGOI	1658341800	1658395740
20220703	LECBP2R	1658466000	1658482140
20220703	LECBGOI	1658169000	1658217540
20220703	LECBP2R	1659205800	1659232740
20220703	LECBGOI	1658466000	1658482140
20220703	LECBP2R	1657564200	1657592940
20220703	LECMCJL	1656873000	1656926940
20220703	LECBGOI	1658773800	1658827740
20220703	LECBGOI	1657391400	1657445340
20220703	LECBGOI	1658545200	1658548740
20220703	LECBP2R	1658727000	1658734140
20220703	LECBGOI	1658601000	1658626140
20220703	LECBP2R	1657045800	1657099740
20220703	LECMCJL	1657650600	1657704540
20220703	LECMCJL	1659033000	1659059940
20220703	LECBGOI	1658727000	1658734140
20220703	LECBGOI	1657045800	1657063140
20220703	LECBP2R	1658341800	1658395740
20220703	LECBP2R	1658892600	1658908740
20220703	LECBGOI	1657823400	1657877340
20220703	LECMCJL	1658169000	1658195940
20220703	LECBP2R	1657508400	1657511940
20220703	LECMCJL	1657823400	1657877340
20220703	LECBGOI	1657596600	1657618140
20220703	LECBP2R	1657391400	1657445340
20220703	LECBP2R	1658601000	1658626140
20220703	LECMCJL	1657737000	1657790940
20220703	LECBGOI	1656997200	1657007940
20220703	LECMCJL	1657218600	1657272540
20220703	LECMCJL	1656959400	1657013340
20220703	LECBGOI	1657305000	1657349940
20220703	LECMCJL	1658428200	1658482140
20220703	LECBP2R	1658169000	1658217540
20220703	LECBGOI	1658296800	1658303940
20220703	LECBGOI	1657650600	1657677540
20220703	LECBP2R	1658860200	1658887140
20220703	LECMCJL	1658946600	1659000540
20220703	LECBP2R	1658255400	1658283180
20220703	LECMCJL	1659119400	1659173340
20220703	LECMCJL	1659069600	1659086940
20220703	LECMCJL	1658860200	1658914140
20220703	LECMCJL	1657045800	1657099740
20220703	LECBP2R	1657940400	1657948740
20220703	LECMCJL	1657305000	1657358940
20220703	LECBP2R	1657477800	1657504740
20220703	LECBGOI	1657909800	1657936740
20220703	LECBP2R	1657683600	1657704540
20220703	LECBGOI	1658892600	1658908740
20220703	LECBP2R	1657823400	1657877340
20220703	LECBP2R	1658642400	1658647140
20220703	LECMCJL	1657132200	1657186140
20220703	LECBGOI	1657218600	1657272540
20220703	LECBP2R	1657909800	1657936740
20220703	LECMCJL	1658773800	1658827740
20220703	LECBP2R	1658120400	1658126340
20220703	LECMCJL	1658687400	1658741340
20220703	LECBGOI	1658082600	1658109540
20220703	LECMCJL	1657996200	1658050140
20220703	LECBP2R	1657305000	1657349940
20220703	LECBP2R	1659033000	1659063540
20220703	LECBGOI	1658514600	1658541540
20220703	LECBGOI	1658860200	1658887140
20220703	LECBGOI	1658946600	1659000540
20220703	LECBGOI	1658120400	1658126340
20220703	LECBP2R	1657218600	1657272540
20220703	LECMCJL	1657564200	1657618140
20220703	LECBP2R	1658687400	1658714340
20220703	LECBGOI	1657737000	1657747140
20220703	LECMCJL	1658255400	1658309340
20220703	LECBP2R	1657996200	1658023140
20220703	LECBGOI	1657940400	1657948740
20220703	LECBP2R	1658296800	1658303940
20220703	LECMCJL	1658204400	1658222940
20220703	LECBP2R	1657132200	1657186140
20220703	LECBP2R	1658773800	1658827740
20220703	LECBP2R	1657650600	1657677540
20220703	LECBGOI	1658642400	1658647140
20220703	LECBGOI	1657564200	1657592940
20220703	LECBGOI	1659205800	1659232740
20220703	LECBGOI	1659033000	1659063540
20220703	LECBP2R	1657737000	1657783740
20220703	LECBGOI	1657683600	1657704540
20220703	LECBGOI	1658687400	1658714340
20220703	LECMCJL	1657477800	1657531740
20220703	LECBP2R	1658428200	1658456340
20220703	LECMCJL	1658601000	1658654940
20220703	LECBGOI	1657508400	1657511940
20220703	LECMCJL	1658341800	1658368740
20220703	LECBGOI	1658255400	1658283180
20220703	LECMCJL	1657391400	1657445340
20220703	LECBGOI	1659247200	1659252540
20220703	LECBGOI	1656982800	1656986340
20220703	LECBP2R	1658082600	1658109540
20220703	LECBGOI	1659119400	1659151140
20220703	LECBP2R	1656873000	1656926940
20220703	LECBP2R	1656997200	1657007940
